movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
90,Batman Begins,http://resizing.flixster.com/fg1Y49hq1wUyVH-VdqeAksXVM4A=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/52/11165262_ori.jpg,7.7,8.3,PG-13,140,Warner Bros / Legendary,"$372,710,015.00 ",15-Jun-05
91,Charlie and the Chocolate Factory,http://resizing.flixster.com/1_QYLOL1hIXTD3z7ujcYi8zcqzs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176489_ori.jpg,7.2,6.7,PG,115,Warner Bros,"$474,968,763.00 ",15-Jul-05
92,Harry Potter and the Goblet of Fire,http://resizing.flixster.com/Z-LFUFCKP2jWIiji0Lr_HI2FJmI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168873_ori.jpg,7.5,7.6,PG-13,157,Warner Bros.,"$895,921,036.00 ",18-Nov-05
93,Hitch,http://resizing.flixster.com/ysVT2wYRZOaSFeoimUqCsyWeN2M=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/16/90/56/1690569_ori.jpg,6.3,6.7,PG-13,118,Columbia,"$368,100,420.00 ",11-Feb-05
94,King Kong,http://resizing.flixster.com/QoPcsIL-O00p3YYGQbbo4zfkLLQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168882_ori.jpg,7.7,7.3,PG-13,187,Universal,"$550,517,357.00 ",14-Dec-05
95,Madagascar,http://resizing.flixster.com/oKyYx8tO-5UYR3hmsx0kbzZ4Nl8=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/24/97/249793_ori.jpg,6.1,6.9,PG,86,DreamWorks,"$532,680,671.00 ",27-May-05
96,Mr. & Mrs. Smith,http://resizing.flixster.com/65JisMaXM3YsP04ToywirE5Cc1s=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189190_ori.jpg,6,6.5,PG-13,120,20th Century Fox,"$478,207,520.00 ",10-Jun-05
97,Star Wars Episode III: Revenge of the Sith,http://resizing.flixster.com/wjhvha9b71ws51OXc6e1MYuAC48=/110x150/dkpu1ddg7pbsk.cloudfront.net/movie/10/94/47/10944718_ori.jpg,7.2,7.7,PG-13,140,20th Century Fox / Lucasfilm,"$848,754,768.00 ",19-May-05
98,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://resizing.flixster.com/aeZ5-j-beDNOTPPM0_gbTX0KAbw=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/91/87/10918786_ori.jpg,6.9,6.9,PG,143,Disney,"$745,011,272.00 ",09-Dec-05
99,War of the Worlds,http://resizing.flixster.com/fWrTEymRYs82GDjb49Zh7K8d6q8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/94/11189471_ori.jpg,7,6.5,PG-13,116,Paramount / DreamWorks,"$591,745,540.00 ",29-Jun-05
100,Harry Potter and the Prisoner of Azkaban,http://resizing.flixster.com/gUZOBF-TrffCG3MellSKNTfZLfc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168872_ori.jpg,7.9,7.8,PG,142,Warner Bros.,"$795,634,069.00 ",04-Jun-04
101,Meet the Fockers,http://resizing.flixster.com/yDvx31ULUwbQMpHmITBC8DvGEm4=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/10/10861012_ori.jpg,5.2,6.3,PG-13,115,Universal / DreamWorks,"$516,642,939.00 ",22-Dec-04
102,Ocean's Twelve,http://resizing.flixster.com/mm6hyAeaEFAl07m0HE3w7AMvgBw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/39/11173930_ori.jpg,5.9,6.4,PG-13,125,Warner Bros.,"$362,744,280.00 ",10-Dec-04
103,Shark Tale,http://resizing.flixster.com/LBMRJueU_GtIVb_ZmkS5YcQPd4o=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/55/34/93/5534930_ori.jpg,5.2,6,PG,90,DreamWorks,"$367,275,019.00 ",01-Oct-04
104,Shrek 2,http://resizing.flixster.com/Vt--2C7r7DDEyOVV_SDpXxkml38=/180x251/dkpu1ddg7pbsk.cloudfront.net/movie/25/37/253795_ori.jpg,7.7,7.2,PG,93,DreamWorks,"$919,838,758.00 ",19-May-04
105,Spider-Man 2,http://resizing.flixster.com/PU_rcPMHMhkuRGR-QPgmNnb60gE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/52/11165291_ori.jpg,8.3,7.3,PG-13,127,Columbia,"$783,766,341.00 ",30-Jun-04
106,The Day After Tomorrow,http://resizing.flixster.com/cZDf0sYKmn_QfbQ1kVGJOCou9fw=/180x251/dkpu1ddg7pbsk.cloudfront.net/movie/25/43/254313_ori.jpg,5.3,6.4,PG-13,124,Fox,"$544,272,402.00 ",28-May-04
107,The Incredibles,http://resizing.flixster.com/h0n53xP_v-81NZP1OdE2kMkR0ck=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/90/10939047_ori.jpg,8.3,8,PG,115,Disney / Pixar,"$631,442,092.00 ",05-Nov-04
108,The Passion of the Christ,http://resizing.flixster.com/tcQ9GFNN3Wau-9s4I1hatH18lyA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/50/11135040_ori.jpg,5.9,7.1,R,127,Icon / Newmarket,"$611,899,420.00 ",25-Feb-04
109,Troy,http://resizing.flixster.com/EyEd2IN7-3dA2j5NXy7_8wuCFaw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166733_ori.jpg,6,7.2,R,163,Warner Bros.,"$497,409,852.00 ",14-May-04
110,Bad Boys II,http://resizing.flixster.com/uEAAP_eXXw44sXo97rQpKX8_Mxs=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/11/14/67/11146748_ori.jpg,4.1,6.5,R,147,Columbia,"$273,339,556.00 ",18-Jul-03
111,Bruce Almighty,http://resizing.flixster.com/Y12rTWfm-gLX5oOVC5-O0SbXOA4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/65/11176524_ori.jpg,5.6,6.7,PG-13,101,Universal,"$484,592,874.00 ",23-May-03
112,Finding Nemo,http://resizing.flixster.com/L5mJPRUyA5797vXg9oelqZ7jGMA=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/19/10841916_ori.jpg,8.6,8.2,G,100,Disney / Pixar,"$867,893,978.00 ",30-May-03
113,Pirates of the Caribbean: The Curse of the Black Pearl,http://resizing.flixster.com/0NAlr-uIRVD-casXObKDtl_wqxU=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/76/11157635_ori.jpg,7.1,8.1,PG-13,143,Disney,"$654,264,015.00 ",09-Jul-03
114,Terminator 3: Rise of the Machines,http://resizing.flixster.com/6xMGzkUb2v1SkTNunEJHF6lzlG0=/110x150/dkpu1ddg7pbsk.cloudfront.net/movie/10/94/47/10944773_ori.jpg,6.6,6.4,R,109,Warner Bros. / Columbia,"$433,371,112.00 ",02-Jul-03
115,The Last Samurai,http://resizing.flixster.com/BIJnnVuqUV-FDHiYjNPg0n7Gd0E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/68/11166861_ori.jpg,6.4,7.7,R,154,Warner Bros.,"$456,758,981.00 ",05-Dec-03
116,The Lord of the Rings: The Return of the King,http://resizing.flixster.com/fhym2r2SVtuOpznC0wdmP5QPUfo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/64/11166423_ori.jpg,8.7,8.9,PG-13,201,New Line,"$1,119,929,521.00 ",17-Dec-03
117,The Matrix Reloaded,http://resizing.flixster.com/g0k3LxainE8qySe4Nwb1Y-KNDT4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/96/11169699_ori.jpg,6.8,7.2,R,138,Warner Bros.,"$742,128,461.00 ",15-May-03
118,The Matrix Revolutions,http://resizing.flixster.com/Ics-y7GKZlTay_Ag-6o6ofVK93A=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176473_ori.jpg,5.3,6.7,R,129,Warner Bros.,"$427,343,298.00 ",05-Nov-03
119,X2,http://resizing.flixster.com/pEUBXjAa_XLWWxFhQUXtbFF8Z6c=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/74/11177479_ori.jpg,7.4,7.5,PG-13,134,Fox,"$407,711,549.00 ",02-May-03
120,Die Another Day,http://resizing.flixster.com/r8WQfeCkLuFl2EtUnpdPsTGdYck=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/34/10933478_ori.jpg,6.1,6.1,PG-13,133,MGM,"$431,971,116.00 ",22-Nov-02
121,Harry Potter and the Chamber of Secrets,http://resizing.flixster.com/2HoVSGA2nXBuTgBZQ4czXiAUMqQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/87/11168797_ori.jpg,7.2,7.3,PG,161,Warner Bros.,"$878,643,482.00 ",15-Nov-02
122,Ice Age,http://resizing.flixster.com/G2PNS_GykbZtx_u_kQgBFuVkqFE=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/89/10938906_ori.jpg,6.8,7.6,PG,81,20th Century Fox / Blue Sky,"$383,257,136.00 ",15-Mar-02
123,Men in Black II,http://resizing.flixster.com/cw5WyryG2pkW2RHN5BVlcMOze3g=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/45/11164554_ori.jpg,5.2,6,PG-13,88,Columbia,"$441,818,803.00 ",03-Jul-02
124,Minority Report,http://resizing.flixster.com/_wXSfzgg6NXtV4-wqqZPxd-iP6Y=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/03/11170343_ori.jpg,8.1,7.7,PG-13,145,DreamWorks / 20th Century Fox,"$358,372,926.00 ",21-Jun-02
125,My Big Fat Greek Wedding,http://resizing.flixster.com/ysPR9u4_W1E2WdssB9N2PhfQw50=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/72/11167225_ori.jpg,6.7,6.6,PG,95,IFC Films,"$368,744,044.00 ",02-Aug-02
126,Signs,http://resizing.flixster.com/cyLfP1xi9FRaJZSBoQ-XLFojhiM=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/10/89/48/10894808_ori.jpg,6.8,6.7,PG-13,106,Touchstone,"$408,247,917.00 ",02-Aug-02
127,Spider-Man,http://resizing.flixster.com/aGon_QjcY9fsPsUsmVE39DC_ubw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/52/11165293_ori.jpg,7.6,7.3,PG-13,121,Columbia / Marvel,"$821,708,551.00 ",03-May-02
128,Star Wars Episode II: Attack of the Clones,http://resizing.flixster.com/A47EQAAO1SHIIvN5HrkKfhAGpQk=/180x239/dkpu1ddg7pbsk.cloudfront.net/movie/10/94/47/10944721_ori.jpg,6.6,6.7,PG,142,20th Century Fox / Lucasfilm,"$649,398,328.00 ",16-May-02
129,The Lord of the Rings: The Two Towers,http://resizing.flixster.com/kcGR9q0SXRr1oA8G6-nkYDshGGU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/64/11166421_ori.jpg,8.5,8.7,PG-13,179,New Line Cinema,"$926,287,400.00 ",18-Dec-02
130,Hannibal,http://resizing.flixster.com/7-lmH9v6jwoPfuJVAIW_YksScrE=/180x263/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/72/10937237_ori.jpg,5.1,6.7,R,131,MGM / Universal,"$351,692,268.00 ",09-Feb-01
131,Harry Potter and the Sorcerer's Stone,http://resizing.flixster.com/707enQVAvKKChUtNa2LlkpjbRts=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173610_ori.jpg,7.1,7.5,PG,152,Warner Bros.,"$974,733,550.00 ",16-Nov-01
132,Jurassic Park III,http://resizing.flixster.com/05xnBp8MTXrAFuI8u5mLin1TGQ8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168887_ori.jpg,5.2,5.9,PG-13,92,Universal,"$368,780,809.00 ",18-Jul-01
133,"Monsters, Inc.",http://resizing.flixster.com/_5J1AMkrOq_CE-En_0dvf2zqD4c=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/65/11166524_ori.jpg,8,8.1,G,92,Disney / Pixar,"$525,366,597.00 ",02-Nov-01
134,Ocean's Eleven,http://resizing.flixster.com/vdQasulealc0hBd6lH3JkC8u_CM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/27/11172746_ori.jpg,6.9,7.8,PG-13,116,Warner Bros,"$450,717,150.00 ",07-Dec-01
135,Pearl Harbor,http://resizing.flixster.com/SwQ-D3N0_F_IipgA6PV8P4kbETU=/180x259/dkpu1ddg7pbsk.cloudfront.net/movie/31/29/312925_ori.jpg,4.6,6,PG-13,183,Touchstone,"$449,220,945.00 ",25-May-01
136,Planet of the Apes,http://resizing.flixster.com/9081NkYAHXHF4iI9h6sFD6CAQfs=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/44/11164477_ori.jpg,5.5,5.7,PG-13,119,20th Century Fox,"$362,211,740.00 ",27-Jul-01
137,Shrek,http://resizing.flixster.com/nr4OyhYALCM7lB_d_923lFEIpfk=/173x270/dkpu1ddg7pbsk.cloudfront.net/movie/25/44/254400_ori.jpg,7.7,7.9,PG,90,DreamWorks,"$484,409,218.00 ",18-May-01
138,The Lord of the Rings: The Fellowship of the Ring,http://resizing.flixster.com/GfBu7mY7UHKd_6TelkAxG0TPgko=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/64/11166420_ori.jpg,8.2,8.8,PG-13,178,New Line Cinema,"$870,761,744.00 ",19-Dec-01
139,The Mummy Returns,http://resizing.flixster.com/UGjywlM8fWTqdKTzTT2FCwN7cm0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173659_ori.jpg,5.2,6.3,PG-13,130,Universal,"$433,013,274.00 ",04-May-01
140,Cast Away,http://resizing.flixster.com/Y8_otZJ0sQ0JcUR7VPRjJxUg-qw=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/48/11164876_ori.jpg,7.4,7.7,PG-13,143,Fox,"$429,632,142.00 ",22-Dec-00
141,Dinosaur,http://resizing.flixster.com/-jcVO9luD6fH9bi4DcbgNY8JQIk=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/10/92/08/10920812_ori.jpg,6.2,6.4,PG,82,Disney,"$349,822,765.00 ",19-May-00
142,Gladiator,http://resizing.flixster.com/sO2TFkZCTVGi8m0Yjw2UWvGajC4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168944_ori.jpg,7.2,8.5,R,155,DreamWorks / Universal,"$457,640,427.00 ",05-May-00
143,How the Grinch Stole Christmas,http://resizing.flixster.com/50a8DXOYOfwUPlzoWtpjoN6qHBQ=/180x256/dkpu1ddg7pbsk.cloudfront.net/movie/25/55/255591_ori.jpg,5.6,6,PG,104,Universal,"$345,141,403.00 ",17-Nov-00
144,Meet the Parents,http://resizing.flixster.com/HqFyRB_q9Qc-9XHodQ5KOnGCn-Y=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/65/11176583_ori.jpg,6.9,7,PG-13,108,Universal / DreamWorks,"$330,444,045.00 ",06-Oct-00
145,Mission: Impossible II,http://resizing.flixster.com/QvZkjCM-tSJ8ZxFeAFBXlhPhp1Y=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/25/77/257715_ori.jpg,6,6,PG-13,123,Paramount,"$546,388,105.00 ",24-May-00
146,The Perfect Storm,http://resizing.flixster.com/N_QI7xIK9FcdKmJQcTzpgU0we4E=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167915_ori.jpg,5.5,6.4,PG-13,130,Warner Bros.,"$328,718,434.00 ",30-Jun-00
147,What Lies Beneath,http://resizing.flixster.com/EH96EztpCYNTTOKKuWJ4o3OVe6U=/180x264/dkpu1ddg7pbsk.cloudfront.net/movie/34/35/84/3435848_ori.jpg,5.5,6.6,PG-13,130,DreamWorks / Fox,"$291,420,351.00 ",21-Jul-00
148,What Women Want,http://resizing.flixster.com/-K3-lemv2IjCIxyfWNB4b5oscBQ=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/62/99/74/6299748_ori.jpg,5.7,6.4,PG-13,127,Paramount,"$374,111,707.00 ",15-Dec-00
149,X-Men,http://resizing.flixster.com/vMvg0TJUjn0dH8QxT6FD7RXXOWw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/75/11177551_ori.jpg,7,7.4,PG-13,104,Fox,"$296,339,527.00 ",14-Jul-00
150,American Beauty,http://resizing.flixster.com/xYYoX_fRXn7AC0HF9MMSQ7dfgKU=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/55/05/64/5505643_ori.jpg,8.2,8.4,R,122,DreamWorks Pictures,"$356,296,601.00 ",01-Oct-99
151,Austin Powers: The Spy Who Shagged Me,http://resizing.flixster.com/V4Imv8fYpxYEG61UQbltX41dHWU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170075_ori.jpg,6,6.6,PG-13,95,New Line Cinema,"$312,016,858.00 ",11-Jun-99
152,Notting Hill,http://resizing.flixster.com/MQ1yf_XKOjCb3xxcePb_IykeNT0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/37/11173724_ori.jpg,7.1,7,PG-13,124,Universal Pictures,"$363,889,678.00 ",28-May-99
153,Star Wars Episode I: The Phantom Menace,http://resizing.flixster.com/teLjRk35zoOC0SMhuuN6PfPoP7A=/168x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/30/11163090_ori.jpg,5.8,6.6,PG,136,20th Century Fox / Lucasfilm,"$924,317,558.00 ",19-May-99
154,Tarzan,http://resizing.flixster.com/DeinPHimwtK2lheePZggxU_9H4c=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/25/12/251223_ori.jpg,7.6,7.2,G,88,Walt Disney Pictures,"$448,191,819.00 ",18-Jun-99
155,The Matrix,http://resizing.flixster.com/C6r4sO4qmdirMZItyU5qrwRTz5A=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168096_ori.jpg,7.6,8.7,R,136,Warner Bros.,"$460,379,930.00 ",31-Mar-99
156,The Mummy,http://resizing.flixster.com/cRaM9lgsQjBfBrzl3cSzZ-gPuE4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168892_ori.jpg,5.7,7,PG-13,125,Universal Pictures,"$415,933,406.00 ",07-May-99
157,The Sixth Sense,http://resizing.flixster.com/7Cy6R8bBtBVnay-lLMPoHrwQ-ik=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/25/38/253818_ori.jpg,7.6,8.2,PG-13,107,Hollywood Pictures,"$672,806,292.00 ",06-Aug-99
158,The World Is Not Enough,http://resizing.flixster.com/EEJTXKCfG2lPxAXxu-YuJW2MN9Y=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/21/10932170_ori.jpg,5.7,6.4,PG-13,128,Metro-Goldwyn-Mayer,"$361,832,400.00 ",19-Nov-99
159,Toy Story 2,http://resizing.flixster.com/apFWspLgFG0LJBKt2Y_-vRJUwoM=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/63/10936392_ori.jpg,8.6,7.9,G,92,Walt Disney Pictures / Pixar,"$485,015,179.00 ",24-Nov-99
160,A Bug's Life,http://resizing.flixster.com/gOA73MRHwCl1cVsjRYTQyi4LisM=/180x256/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/89/10938947_ori.jpg,7.9,7.2,G,95,Walt Disney Pictures / Pixar,"$363,398,565.00 ",25-Nov-98
161,Armageddon,http://resizing.flixster.com/QUirFk3ccr_LFPnojKhCtmOHkFA=/180x253/dkpu1ddg7pbsk.cloudfront.net/movie/55/05/68/5505685_ori.jpg,5.2,6.6,PG-13,151,Touchstone Pictures,"$553,709,788.00 ",01-Jul-98
162,Deep Impact,http://resizing.flixster.com/FOPaOdOF9ov5xps6xQMqZCnl7is=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169780_ori.jpg,5.8,6.1,PG-13,120,DreamWorks Pictures / Paramount Pictures,"$349,464,664.00 ",08-May-98
163,Dr. Dolittle,http://resizing.flixster.com/HRV9G6-kcJ-Fsycsth8JR0GqP68=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/80/11178097_ori.jpg,5.3,5.3,PG-13,85,20th Century Fox,"$294,456,605.00 ",26-Jun-98
164,Godzilla,http://resizing.flixster.com/2BsexQCiFCXVsKwiYbiqRysv-dk=/180x249/dkpu1ddg7pbsk.cloudfront.net/movie/25/99/259919_ori.jpg,4,5.3,PG-13,139,TriStar Pictures,"$379,014,294.00 ",20-May-98
165,Lethal Weapon 4,http://resizing.flixster.com/TfYg5GP3d0N5VFCIdczSqrcxQWY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170039_ori.jpg,5.8,6.6,R,127,Warner Bros.,"$285,444,603.00 ",10-Jul-98
166,Mulan,http://resizing.flixster.com/_UoZLlmHv08EAQNXKLvIUM0gWck=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/11/14/84/11148476_ori.jpg,7.5,7.5,G,88,Walt Disney Pictures,"$304,320,254.00 ",19-Jun-98
167,Saving Private Ryan,http://resizing.flixster.com/BLCyiFNFpYFbQJa6D_oT9LFCzWw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169791_ori.jpg,8.6,8.6,R,169,DreamWorks Pictures / Paramount Pictures,"$481,840,909.00 ",24-Jul-98
168,Shakespeare in Love,http://resizing.flixster.com/GcwTacz8zq3d34rR2QISbe4U0hQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/61/11176194_ori.jpg,8.3,7.2,R,123,Miramax Films / Universal Pictures,"$289,317,794.00 ",08-Jan-99
169,There's Something About Mary,http://resizing.flixster.com/qY45xaYyckU8Vuw1mIIGKMCNs4U=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176790_ori.jpg,7,7.1,R,119,20th Century Fox,"$369,884,651.00 ",15-Jul-98
170,Air Force One,http://resizing.flixster.com/mTOEf-_CLwT12bPAsM0Y3DiR54U=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/93/11169367_ori.jpg,7,6.4,R,124,Columbia Pictures,"$315,156,409.00 ",25-Jul-97
171,As Good as It Gets,http://resizing.flixster.com/4QEk9-zMgCwRs1Ycg2SUn023B4E=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/55/35/60/5535608_ori.jpg,7.2,7.8,PG-13,139,TriStar Pictures,"$314,178,011.00 ",25-Dec-97
172,Liar Liar,http://resizing.flixster.com/g8hIkgvB4efCw0_c5VZccrgIb0o=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/19/11171948_ori.jpg,6.9,6.8,PG-13,86,Universal Pictures,"$302,710,615.00 ",21-Mar-97
173,Men in Black,http://resizing.flixster.com/KJwy14RArJXQ9kJ0Yp8GWFcifFw=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/45/11164553_ori.jpg,7.5,7.2,PG-13,98,Columbia Pictures,"$589,390,539.00 ",02-Jul-97
174,My Best Friend's Wedding,http://resizing.flixster.com/2x1XOf8b8ehe1zigdR9XKKGN3L8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/95/11189527_ori.jpg,6.4,6.3,PG-13,105,TriStar Pictures,"$299,288,605.00 ",20-Jun-97
175,The Fifth Element,http://resizing.flixster.com/zsw3FoPOaNxEVbYuX2tdKFcIpqI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/94/11169462_ori.jpg,6.3,7.6,PG-13,126,Columbia Pictures,"$263,920,180.00 ",09-May-97
176,The Full Monty,http://resizing.flixster.com/w_DBGtkJdEgKy7cp4vImJQKlSEI=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/47/11164761_ori.jpg,7.6,7.2,R,91,Fox Searchlight Pictures,"$257,850,122.00 ",19-Sep-97
177,The Lost World: Jurassic Park,http://resizing.flixster.com/gHDeeV4CkhEu7y5M63csUh5ZXs0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168888_ori.jpg,5.6,6.5,PG-13,129,Universal Pictures,"$618,638,999.00 ",23-May-97
178,Titanic,http://resizing.flixster.com/Dln7O1KtZpRmtG0KqU6QH1VES3Y=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/63/11166320_ori.jpg,8,7.7,PG-13,194,Paramount Pictures / 20th Century Fox,"$1,843,201,268.00 ",19-Dec-97
179,Tomorrow Never Dies,http://resizing.flixster.com/XwjEAjztVxVgC_1cxC-0LFvi25s=/180x256/dkpu1ddg7pbsk.cloudfront.net/movie/10/91/35/10913520_ori.jpg,6,6.5,PG-13,119,United Artists,"$333,011,068.00 ",19-Dec-97
180,101 Dalmatians,http://resizing.flixster.com/FE7P1JgZ3QaVmRG2CBu9NGLyaXE=/180x253/dkpu1ddg7pbsk.cloudfront.net/movie/25/28/252816_ori.jpg,5.3,5.6,G,103,Walt Disney Pictures,"$320,689,294.00 ",27-Nov-96
181,Eraser,http://resizing.flixster.com/kAc1eecSvRe7HBvMQtdQ3Aqx5YQ=/180x245/dkpu1ddg7pbsk.cloudfront.net/movie/27/12/271217_ori.jpg,4.9,6,R,115,Warner Bros.,"$242,295,562.00 ",21-Jun-96
182,Independence Day,http://resizing.flixster.com/2CYkXpNsZUE9C27PsXgX5UZBcKI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176784_ori.jpg,6.3,6.9,PG-13,145,20th Century Fox,"$817,400,891.00 ",03-Jul-96
183,Jerry Maguire,http://resizing.flixster.com/jd2BYtf2ewOTB-VFRdjAZ3wUqCc=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/26/81/268123_ori.jpg,7.4,7.3,R,139,TriStar Pictures,"$273,552,592.00 ",13-Dec-96
184,Mission: Impossible,http://resizing.flixster.com/8tTdDDMRCVFg_c0XRiSVkO-_6dA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169789_ori.jpg,5.9,7.1,PG-13,110,Paramount Pictures,"$457,696,359.00 ",22-May-96
185,Ransom,http://resizing.flixster.com/m_MdLZUBx7KuzxQx2V3FjaK3ESs=/180x246/dkpu1ddg7pbsk.cloudfront.net/movie/10/91/77/10917783_ori.jpg,6.6,6.6,R,121,Touchstone Pictures / Imagine Entertainment,"$309,492,681.00 ",08-Nov-96
186,The Hunchback of Notre Dame,http://resizing.flixster.com/l5o6CPeWggfSLIJHA-z_rlqO1ZM=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/56/11155631_ori.jpg,7.1,6.9,G,91,Walt Disney Pictures,"$325,338,851.00 ",21-Jun-96
187,The Nutty Professor,http://resizing.flixster.com/KPKB9efvzzdAsBAJqM7dhvkC6xE=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/25/91/259122_ori.jpg,5.9,5.5,PG-13,95,Universal Pictures,"$273,961,019.00 ",28-Jun-96
188,The Rock,http://resizing.flixster.com/DHwVTSAKf5YJpqnYpB7an_ZQNiI=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/87/70/10877064_ori.jpg,6.6,7.4,R,136,Hollywood Pictures,"$335,062,621.00 ",07-Jun-96
189,Twister,http://resizing.flixster.com/7xwAEq5tJYTJNysiwjmnyQM9AfQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/08/11180828_ori.jpg,6,6.2,PG-13,113,Warner Bros. / Universal Pictures,"$494,471,524.00 ",10-May-96
